Date,month,day,year,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,State,Country,Summary
07-12-1912,7,12,1912,06:30,"AtlantiCity, New Jersey",Military - U.S. Navy,,Test flight,Dirigible,,,5,5,0,AtlantiCity,NewJersey,"First U.S. dirigible Akron exploded just offshore at an altitude of 1,000 ft. during a test flight."
10/17/1913,10,17,1913,10:30,"Near Johannisthal, Germany",Military - German Navy,,,Zeppelin L-2 (airship),,,30,30,0,NearJohannisthal,Germany,"Hydrogen gas which was being vented was sucked into the forward engine and ignited causing the airship to explode and burn at 3,000 ft.."
09-03-1915,9,3,1915,15:20,"Off Cuxhaven, Germany",Military - German Navy,,,Zeppelin L-10 (airship),,,19,19,0,OffCuxhaven,Germany,"Exploded and burned near Neuwerk Island,  when hydrogen gas, being vented, was ignited by lightning."
11/21/1916,11,21,1916,,"Mainz, Germany",Military - German Army,,,Super Zeppelin (airship),,,28,27,0,Mainz,Germany,Crashed in a storm.
05-10-1918,5,10,1918,,"Off Helgoland Island, Germany",Military - German Navy,,,Zeppelin L-70 (airship),,,22,22,0,OffHelgolandIsland,Germany,"Shot down by British aircraft crashing from a height of 17,000 ft."
12/16/1918,12,16,1918,,"Elizabeth, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,97,,1,1,0,Elizabeth,NewJersey,
10/30/1919,10,30,1919,,"Long Valley, New Jersey",US Aerial Mail Service,,,De Havilland DH.4,77,,1,1,0,LongValley,NewJersey,
03-10-1920,3,10,1920,,"New Paris, Indiana",US Aerial Mail Service,,,De Havilland DH-4,65,,1,1,0,NewParis,Indiana,
03/30/1920,3,30,1920,,"Newark, New Jersey",US Aerial Mail Service,,,De Havilland DH-4,72,,1,1,0,Newark,NewJersey,
04-10-1920,4,10,1920,,"Newark, New Jersey",US Aerial Mail Service,,,Curtiss R-4LM,49,,2,1,0,Newark,NewJersey,
04-11-1920,4,11,1920,,"Heller Field, New Jersey",US Aerial Mail Service,,,Curtiss JN-4H,44,,2,1,0,HellerField,NewJersey,
09-01-1920,9,1,1920,,"Morristown, New Jersey",US Aerial Mail Service,,,Junkers JL-6,305,,2,2,0,Morristown,NewJersey,
04-08-1922,4,8,1922,,"Pao Ting Fou, China",,,,,,,17,17,0,PaoTingFou,China,All seventeen aboard were Chinese nationals.
09-07-1922,9,7,1922,,"Indianapolis, Indiana",US Aerial Mail Service,,,De Havilland DH-4,227,,1,1,0,Indianapolis,Indiana,
12/21/1924,12,21,1924,,"Goshen, Indiana",US Aerial Mail Service,,,De Havilland DH-4,311,,1,1,0,Goshen,Indiana,
03-08-1926,3,8,1926,,"Staaken, Germany",Deutche Lufthansa,,,Junkers F-13,,,1,1,0,Staaken,Germany,
07/24/1926,7,24,1926,,"Juist, Germany",Deutsche Lufthansa,,,Junkers F-13,D-272,660,4,4,0,Juist,Germany,Weather related.
10-08-1926,10,8,1926,,"Bueren, Germany",Deutsche Lufthansa,,,Fokker FG III,D-468,1554,4,4,0,Bueren,Germany,Weather related.
04/22/1927,4,22,1927,,"Goshen, Indiana",US Aerial Mail Service,,,Douglas M-4,626,,1,1,0,Goshen,Indiana,
04/22/1927,4,22,1927,,"Floh, Germany",Deutsche Lufthansa,,,Fokker FG III,D-729,1567,2,2,0,Floh,Germany,Engine failure.
07/27/1927,7,27,1927,,"Amoneburg, Germany",Deutsche Lufthansa,,,Junkers F-13,D-206,591,5,5,0,Amoneburg,Germany,Engine failure.
09/17/1927,9,17,1927,,"Hadley, New Jersey",Reynolds Airways,,Sightseeing,Fokker F-VII,NC776,4840,12,7,0,Hadley,NewJersey,The sightseeing plane took off and rose to 400 ft. when the engine failed.  The plane stalled and plunged to the ground in an apple orchard. Engine failure. The pilot was not familiar with the type of aircraft.
09/22/1927,9,22,1927,,"Saale, Germany",Deutsche Lufthansa,,,BFW M-18,D-1177,30,4,2,0,Saale,Germany,Engine failure.
09/23/1927,9,23,1927,10:00,"Schleiz, Germany",Deutsche Lufthansa,,Berlin - Munich,Dornier Merkur,D-585,,6,6,0,Schleiz,Germany,Broken wing strut.
10/30/1927,10,30,1927,,"New Brunswick, New Jersey",Colonial Air Transport,,,Fairchild FC-2,,,4,4,0,NewBrunswick,NewJersey,Went into a tailspin and crashed into a corn field
11/29/1927,11,29,1927,,"Corunna, Indiana",National Air Transport,,,Douglas M-4,,,1,1,0,Corunna,Indiana,
03-03-1928,3,3,1928,,"Rio de Janeiro, Brazil",,,,,,,10,10,0,RiodeJaneiro,Brazil,
05/26/1928,5,26,1928,,"Radevormwald, Germany",Deutsche Lufthansa,,,Junkers F-13,D-583,742,5,3,0,Radevormwald,Germany,Pilot error.
06/14/1928,6,14,1928,,"Frankfurt, Germany",Deutsche Lufthansa,,,AEGK,D-74,439,5,5,0,Frankfurt,Germany,
